uid,id,name,item_class,normalized_class,tier,allowed_slots,profile_id,motif,atk,def,hp,spd,pwr,primary_keyword,secondary_keyword,effect_tier,archetype_tags,is_marquee,override_effect_id,wiki_url,relevance_score
21,mageblood,Mageblood,Belt,belt,T0,charm,sustain_charm,blood,1,9,14,0,4,Strength,Regen,legendary,sustain|bastion,1,mageblood_autotonic,https://www.poewiki.net/wiki/Mageblood,1028
22,lethal_pride,Lethal Pride,Jewel,jewel,T0,focus,focus_engine,neutral,0,0,0,0,23,Foresight,Burn,legendary,focus|support,1,lethal_pride_warcry,https://www.poewiki.net/wiki/Lethal_Pride,1028
23,megalomaniac,Megalomaniac,Jewel,jewel,T1,focus,focus_engine,neutral,0,0,0,0,18,Foresight,Burn,elite,focus|support,1,megalomaniac_random,https://www.poewiki.net/wiki/Megalomaniac,1028
24,perseverance,Perseverance,Belt,belt,T1,charm,sustain_charm,neutral,1,7,11,0,3,Regen,Plating,elite,sustain|bastion|support,1,perseverance_gain,https://www.poewiki.net/wiki/Perseverance,1028
25,militant_faith,Militant Faith,Jewel,jewel,T0,focus,focus_engine,bastion,0,0,0,0,23,Foresight,Burn,legendary,focus|support|bastion,1,militant_faith_ordo,https://www.poewiki.net/wiki/Militant_Faith,1028
26,brutal_restraint,Brutal Restraint,Jewel,jewel,T0,focus,focus_engine,bastion,0,0,0,0,23,Foresight,Burn,legendary,focus|support|bastion,1,brutal_restraint_momentum,https://www.poewiki.net/wiki/Brutal_Restraint,1028
27,thread_of_hope,Thread of Hope,Jewel,jewel,T0,focus,focus_engine,insight,0,0,0,0,23,Foresight,Burn,legendary,focus|support,1,thread_of_hope_weave,https://www.poewiki.net/wiki/Thread_of_Hope,1028
28,unnatural_instinct,Unnatural Instinct,Jewel,jewel,T0,focus,focus_engine,neutral,0,0,0,0,23,Foresight,Burn,legendary,focus|support,1,unnatural_instinct_snap,https://www.poewiki.net/wiki/Unnatural_Instinct,1028
29,split_personality,Split Personality,Jewel,jewel,T0,focus,focus_engine,neutral,0,0,0,0,23,Foresight,Burn,legendary,focus|support,1,split_personality_duality,https://www.poewiki.net/wiki/Split_Personality,1028
30,auls_uprising,Aul's Uprising,Amulet,amulet,T1,charm,support_charm,void,4,3,3,2,8,Foresight,Regen,elite,support|sustain|arcane,1,aul_uprising,https://www.poewiki.net/wiki/Aul%27s_Uprising,1025
31,carcass_jack,Carcass Jack,Body Armour,body,T1,body,bastion_shell,ember,0,18,13,0,2,Plating,Regen,elite,bastion|sustain|ember,1,carcass_splinter,https://www.poewiki.net/wiki/Carcass_Jack,1024
32,shavronnes_wrappings,Shavronne's Wrappings,Body Armour,body,T0,body,bastion_shell,neutral,0,23,17,0,3,Plating,Regen,legendary,bastion|sustain|support,1,shavronne_lastveil,https://www.poewiki.net/wiki/Shavronne%27s_Wrappings,1022
33,darkray_vectors,Darkray Vectors,Boots,boots,T1,minor,tempo_stride,storm,0,4,2,16,2,Dodge,Foresight,elite,tempo|hunter,1,darkray_loop,https://www.poewiki.net/wiki/Darkray_Vectors,1022
34,belly_of_the_beast,Belly of the Beast,Body Armour,body,T1,body,bastion_shell,beast,0,18,13,0,2,Regen,Plating,elite,bastion|sustain|assault,1,belly_beast_overheal,https://www.poewiki.net/wiki/Belly_of_the_Beast,1022
35,inpulsas_broken_heart,Inpulsa's Broken Heart,Body Armour,body,T1,body,bastion_shell,blood,0,18,13,0,2,Regen,Plating,elite,bastion|sustain,1,inpulsa_chainburst,https://www.poewiki.net/wiki/Inpulsa%27s_Broken_Heart,1022
36,rats_nest,Rat's Nest,Helmet,helmet,T1,minor,seer_helm,tempo,0,10,6,2,6,Foresight,Plating,elite,insight|bastion|tempo,1,rats_nest_opener,https://www.poewiki.net/wiki/Rat%27s_Nest,1022
37,starkonjas_head,Starkonja's Head,Helmet,helmet,T1,minor,seer_helm,neutral,0,10,6,2,6,Foresight,Plating,elite,insight|bastion|support,1,starkonja_laststand,https://www.poewiki.net/wiki/Starkonja%27s_Head,1020
38,devotos_devotion,Devoto's Devotion,Helmet,helmet,T1,minor,seer_helm,insight,0,10,6,2,6,Foresight,Plating,elite,insight|bastion|focus,1,devoto_rush,https://www.poewiki.net/wiki/Devoto%27s_Devotion,1020
39,heatshiver,Heatshiver,Helmet,helmet,T1,minor,seer_helm,ember,0,10,6,2,6,Burn,Foresight,elite,insight|bastion|ember,1,heatshiver_flip,https://www.poewiki.net/wiki/Heatshiver,1020
40,hrimsorrow,Hrimsorrow,Gloves,gloves,T1,minor,tempo_grip,tempo,7,3,0,8,4,Dodge,Strength,elite,tempo|sustain,1,hrimsorrow_dualburn,https://www.poewiki.net/wiki/Hrimsorrow,1020
41,abyssus,Abyssus,Helmet,helmet,T1,minor,seer_helm,void,0,10,6,2,6,Burn,Foresight,elite,insight|bastion|arcane,1,abyssus_reckless,https://www.poewiki.net/wiki/Abyssus,1020
42,voidforge,Voidforge,Two-Handed Sword,sword_2h,T0,mainhand,heavy_execution,ember,29,0,3,0,3,Foresight,,legendary,assault|burst|ember,1,voidforge_entropy,https://www.poewiki.net/wiki/Voidforge,1010
43,nebulis,Nebulis,Sceptre,sceptre,T1,mainhand|offhand,ember_battlemage,bastion,9,2,1,2,10,Burn,Strength,elite,ember|arcane|bastion,1,nebulis_flux,https://www.poewiki.net/wiki/Nebulis,1010
44,starforge,Starforge,Two-Handed Sword,sword_2h,T0,mainhand,heavy_execution,ember,29,0,3,0,3,Foresight,,legendary,assault|burst|ember,1,starforge_celestial,https://www.poewiki.net/wiki/Starforge,1010
45,cospris_malice,Cospri's Malice,Thrusting One-Handed Sword,rapier_1h,T1,mainhand|offhand,tempo_duelist,frost,12,0,0,11,2,Dodge,Vulnerable,elite,tempo|assault|control,1,cospri_echo,https://www.poewiki.net/wiki/Cospri%27s_Malice,1010
46,hand_of_wisdom_and_action,Hand of Wisdom and Action,Claw,claw,T1,mainhand|offhand,venom_leech,ember,13,0,0,8,5,Poison,Lifesteal,elite,venom|sustain|ember,1,hand_wisdom_action,https://www.poewiki.net/wiki/Hand_of_Wisdom_and_Action,1010
47,soul_taker,Soul Taker,One-Handed Axe,axe_1h,T1,mainhand|offhand,assault_rend,blood,17,1,2,2,2,Strength,Vulnerable,elite,assault|control|sustain,1,soul_taker_freecast,https://www.poewiki.net/wiki/Soul_Taker,1010
48,the_unseen_hue,The Unseen Hue,Ring,ring,T1,charm,volatile_charm,neutral,6,1,0,3,7,Poison,Burn,elite,wildcard|support,0,,https://www.poewiki.net/wiki/The_Unseen_Hue,62
49,the_taming,The Taming,Ring,ring,T1,charm,volatile_charm,frost,6,1,0,3,7,Dodge,Poison,elite,wildcard|support|control,1,taming_triune,https://www.poewiki.net/wiki/The_Taming,62
50,the_will_of_xoph,The Will of Xoph,Ring,ring,T1,charm,volatile_charm,ember,6,1,0,3,7,Burn,Poison,elite,wildcard|support|ember,0,,https://www.poewiki.net/wiki/The_Will_of_Xoph,60
51,the_primordial_chain,The Primordial Chain,Amulet,amulet,T1,charm,support_charm,ember,4,3,3,2,8,Regen,Lifesteal,elite,support|sustain|ember,0,,https://www.poewiki.net/wiki/The_Primordial_Chain,60
52,the_sundered_will,The Sundered Will,Ring,ring,T1,charm,volatile_charm,ember,6,1,0,3,7,Burn,Poison,elite,wildcard|support|ember,0,,https://www.poewiki.net/wiki/The_Sundered_Will,60
53,the_balance_of_terror,The Balance of Terror,Jewel,jewel,T1,focus,focus_engine,void,0,0,0,0,18,Poison,Foresight,elite,focus|support|arcane,0,,https://www.poewiki.net/wiki/The_Balance_of_Terror,60
54,the_eternal_struggle,The Eternal Struggle,Amulet,amulet,T1,charm,support_charm,neutral,4,3,3,2,8,Regen,Lifesteal,elite,support|sustain,0,,https://www.poewiki.net/wiki/The_Eternal_Struggle,60
55,the_selfish_shepherd,The Selfish Shepherd,Ring,ring,T1,charm,volatile_charm,gamble,6,1,0,3,7,Vulnerable,Poison,elite,wildcard|support,0,,https://www.poewiki.net/wiki/The_Selfish_Shepherd,60
56,the_anvil,The Anvil,Amulet,amulet,T1,charm,support_charm,ember,4,3,3,2,8,Regen,Lifesteal,elite,support|sustain|ember,0,,https://www.poewiki.net/wiki/The_Anvil,60
57,the_ephemeral_bond,The Ephemeral Bond,Amulet,amulet,T1,charm,support_charm,tempo,4,3,3,2,8,Strength,Regen,elite,support|sustain|tempo,0,,https://www.poewiki.net/wiki/The_Ephemeral_Bond,60
58,the_queller_of_minds,The Queller of Minds,Ring,ring,T1,charm,volatile_charm,insight,6,1,0,3,7,Poison,Burn,elite,wildcard|support|focus,0,,https://www.poewiki.net/wiki/The_Queller_of_Minds,60
59,the_anima_stone,The Anima Stone,Jewel,jewel,T1,focus,focus_engine,insight,0,0,0,0,18,Foresight,Burn,elite,focus|support,0,,https://www.poewiki.net/wiki/The_Anima_Stone,60
60,the_pariah,The Pariah,Ring,ring,T1,charm,volatile_charm,gamble,6,1,0,3,7,Vulnerable,Poison,elite,wildcard|support,0,,https://www.poewiki.net/wiki/The_Pariah,60
61,the_hungry_loop,The Hungry Loop,Ring,ring,T1,charm,volatile_charm,blood,6,1,0,3,7,Strength,Poison,elite,wildcard|support|sustain,0,,https://www.poewiki.net/wiki/The_Hungry_Loop,60
62,the_highwayman,The Highwayman,Ring,ring,T1,charm,volatile_charm,gamble,6,1,0,3,7,Vulnerable,Poison,elite,wildcard|support,0,,https://www.poewiki.net/wiki/The_Highwayman,60
63,the_will_of_uul_netol,The Will of Uul-Netol,Ring,ring,T1,charm,volatile_charm,insight,6,1,0,3,7,Poison,Burn,elite,wildcard|support|focus,0,,https://www.poewiki.net/wiki/The_Will_of_Uul-Netol,60
64,the_ignomon,The Ignomon,Amulet,amulet,T1,charm,support_charm,storm,4,3,3,2,8,Foresight,Regen,elite,support|sustain|tempo,0,,https://www.poewiki.net/wiki/The_Ignomon,60
65,the_will_of_tul,The Will of Tul,Ring,ring,T1,charm,volatile_charm,frost,6,1,0,3,7,Dodge,Poison,elite,wildcard|support|control,0,,https://www.poewiki.net/wiki/The_Will_of_Tul,60
66,the_halcyon,The Halcyon,Amulet,amulet,T1,charm,support_charm,frost,4,3,3,2,8,Foresight,Regen,elite,support|sustain|control,0,,https://www.poewiki.net/wiki/The_Halcyon,60
67,the_hateful_accuser,The Hateful Accuser,Ring,ring,T1,charm,volatile_charm,insight,6,1,0,3,7,Poison,Burn,elite,wildcard|support|focus,0,,https://www.poewiki.net/wiki/The_Hateful_Accuser,60
68,the_will_of_esh,The Will of Esh,Ring,ring,T1,charm,volatile_charm,bastion,6,1,0,3,7,Poison,Burn,elite,wildcard|support|bastion,0,,https://www.poewiki.net/wiki/The_Will_of_Esh,60
69,the_felbog_fang,The Felbog Fang,Amulet,amulet,T1,charm,support_charm,blood,4,3,3,2,8,Strength,Regen,elite,support|sustain,0,,https://www.poewiki.net/wiki/The_Felbog_Fang,60
70,the_aylardex,The Aylardex,Amulet,amulet,T1,charm,support_charm,ember,4,3,3,2,8,Regen,Lifesteal,elite,support|sustain|ember,0,,https://www.poewiki.net/wiki/The_Aylardex,60
71,the_untouched_soul,The Untouched Soul,Amulet,amulet,T1,charm,support_charm,neutral,4,3,3,2,8,Regen,Lifesteal,elite,support|sustain,0,,https://www.poewiki.net/wiki/The_Untouched_Soul,60
72,the_adorned,The Adorned,Jewel,jewel,T1,focus,focus_engine,ember,0,0,0,0,18,Burn,Foresight,elite,focus|support|ember,0,,https://www.poewiki.net/wiki/The_Adorned,60
73,the_jinxed_juju,The Jinxed Juju,Amulet,amulet,T1,charm,support_charm,ember,4,3,3,2,8,Regen,Lifesteal,elite,support|sustain|ember,0,,https://www.poewiki.net/wiki/The_Jinxed_Juju,60
74,the_wardens_brand,The Warden's Brand,Ring,ring,T1,charm,volatile_charm,ember,6,1,0,3,7,Burn,Poison,elite,wildcard|support|ember,0,,https://www.poewiki.net/wiki/The_Warden%27s_Brand,60
75,the_utmost,The Utmost,Amulet,amulet,T1,charm,support_charm,neutral,4,3,3,2,8,Regen,Lifesteal,elite,support|sustain,0,,https://www.poewiki.net/wiki/The_Utmost,60
76,the_arkhons_tools,The Arkhon's Tools,Belt,belt,T1,charm,sustain_charm,insight,1,7,11,0,3,Regen,Plating,elite,sustain|bastion|focus,0,,https://www.poewiki.net/wiki/The_Arkhon%27s_Tools,60
77,the_blue_nightmare,The Blue Nightmare,Jewel,jewel,T1,focus,focus_engine,insight,0,0,0,0,18,Foresight,Burn,elite,focus|support,0,,https://www.poewiki.net/wiki/The_Blue_Nightmare,58
78,the_tides_of_time,The Tides of Time,Belt,belt,T1,charm,sustain_charm,insight,1,7,11,0,3,Regen,Plating,elite,sustain|bastion|focus,0,,https://www.poewiki.net/wiki/The_Tides_of_Time,58
79,the_blue_dream,The Blue Dream,Jewel,jewel,T1,focus,focus_engine,ember,0,0,0,0,18,Burn,Foresight,elite,focus|support|ember,0,,https://www.poewiki.net/wiki/The_Blue_Dream,58
80,the_burden_of_truth,The Burden of Truth,Belt,belt,T1,charm,sustain_charm,insight,1,7,11,0,3,Regen,Plating,elite,sustain|bastion|focus,0,,https://www.poewiki.net/wiki/The_Burden_of_Truth,58
81,the_interrogation,The Interrogation,Jewel,jewel,T2,focus,focus_engine,insight,0,0,0,0,13,Foresight,,major,focus|support,0,,https://www.poewiki.net/wiki/The_Interrogation,58
82,the_magnate,The Magnate,Belt,belt,T2,charm,sustain_charm,void,1,5,8,0,2,Regen,,major,sustain|bastion|arcane,0,,https://www.poewiki.net/wiki/The_Magnate,58
83,the_light_of_meaning,The Light of Meaning,Jewel,jewel,T2,focus,focus_engine,storm,0,0,0,0,13,Burn,,major,focus|support|tempo,0,,https://www.poewiki.net/wiki/The_Light_of_Meaning,58
84,the_red_dream,The Red Dream,Jewel,jewel,T1,focus,focus_engine,blood,0,0,0,0,18,Strength,Foresight,elite,focus|support|sustain,0,,https://www.poewiki.net/wiki/The_Red_Dream,58
85,the_red_nightmare,The Red Nightmare,Jewel,jewel,T1,focus,focus_engine,bastion,0,0,0,0,18,Foresight,Burn,elite,focus|support|bastion,0,,https://www.poewiki.net/wiki/The_Red_Nightmare,58
86,the_druggery,The Druggery,Belt,belt,T1,charm,sustain_charm,neutral,1,7,11,0,3,Regen,Plating,elite,sustain|bastion|support,0,,https://www.poewiki.net/wiki/The_Druggery,58
87,the_golden_rule,The Golden Rule,Jewel,jewel,T1,focus,focus_engine,neutral,0,0,0,0,18,Foresight,Burn,elite,focus|support,0,,https://www.poewiki.net/wiki/The_Golden_Rule,58
88,the_front_line,The Front Line,Jewel,jewel,T1,focus,focus_engine,ember,0,0,0,0,18,Burn,Foresight,elite,focus|support|ember,0,,https://www.poewiki.net/wiki/The_Front_Line,58
89,the_green_nightmare,The Green Nightmare,Jewel,jewel,T1,focus,focus_engine,insight,0,0,0,0,18,Foresight,Burn,elite,focus|support,0,,https://www.poewiki.net/wiki/The_Green_Nightmare,58
90,the_green_dream,The Green Dream,Jewel,jewel,T1,focus,focus_engine,insight,0,0,0,0,18,Foresight,Burn,elite,focus|support,0,,https://www.poewiki.net/wiki/The_Green_Dream,58
91,the_siege,The Siege,Jewel,jewel,T1,focus,focus_engine,void,0,0,0,0,18,Poison,Foresight,elite,focus|support|arcane,0,,https://www.poewiki.net/wiki/The_Siege,58
92,the_queens_hunger,The Queen's Hunger,Body Armour,body,T2,body,bastion_shell,blood,0,13,9,0,1,Regen,,major,bastion|sustain,0,,https://www.poewiki.net/wiki/The_Queen%27s_Hunger,54
93,the_coming_calamity,The Coming Calamity,Body Armour,body,T2,body,bastion_shell,ember,0,13,9,0,1,Plating,,major,bastion|sustain|ember,0,,https://www.poewiki.net/wiki/The_Coming_Calamity,54
94,the_flow_untethered,The Flow Untethered,Belt,belt,T2,charm,sustain_charm,tempo,1,5,8,0,2,Strength,,major,sustain|bastion|tempo,0,,https://www.poewiki.net/wiki/The_Flow_Untethered,53
95,the_torrents_reclamation,The Torrent's Reclamation,Belt,belt,T2,charm,sustain_charm,neutral,1,5,8,0,2,Regen,,major,sustain|bastion|support,0,,https://www.poewiki.net/wiki/The_Torrent%27s_Reclamation,53
96,the_dark_monarch,The Dark Monarch,Helmet,helmet,T2,minor,seer_helm,blood,0,7,4,1,4,Foresight,,major,insight|bastion|sustain,0,,https://www.poewiki.net/wiki/The_Dark_Monarch,52
97,the_caged_mammoth,The Caged Mammoth,Gloves,gloves,T2,minor,tempo_grip,tempo,5,2,0,6,3,Dodge,,major,tempo|sustain,0,,https://www.poewiki.net/wiki/The_Caged_Mammoth,52
98,the_gull,The Gull,Helmet,helmet,T2,minor,seer_helm,blood,0,7,4,1,4,Foresight,,major,insight|bastion|sustain,0,,https://www.poewiki.net/wiki/The_Gull,52
99,the_embalmer,The Embalmer,Gloves,gloves,T2,minor,tempo_grip,venom,5,2,0,6,3,Lifesteal,,major,tempo|sustain|venom,0,,https://www.poewiki.net/wiki/The_Embalmer,52
100,the_snowblind_grace,The Snowblind Grace,Body Armour,body,T2,body,bastion_shell,frost,0,13,9,0,1,Plating,,major,bastion|sustain|control,0,,https://www.poewiki.net/wiki/The_Snowblind_Grace,52
101,the_beast_fur_shawl,The Beast Fur Shawl,Body Armour,body,T2,body,bastion_shell,tempo,0,13,9,0,1,Plating,,major,bastion|sustain|tempo,0,,https://www.poewiki.net/wiki/The_Beast_Fur_Shawl,52
102,the_perfect_form,The Perfect Form,Body Armour,body,T2,body,bastion_shell,frost,0,13,9,0,1,Plating,,major,bastion|sustain|control,0,,https://www.poewiki.net/wiki/The_Perfect_Form,52
103,the_blood_dance,The Blood Dance,Boots,boots,T2,minor,tempo_stride,ember,0,3,1,11,1,Dodge,,major,tempo|hunter|ember,0,,https://www.poewiki.net/wiki/The_Blood_Dance,52
104,the_fourth_vow,The Fourth Vow,Body Armour,body,T2,body,bastion_shell,insight,0,13,9,0,1,Regen,,major,bastion|sustain|focus,0,,https://www.poewiki.net/wiki/The_Fourth_Vow,52
105,the_eternity_shroud,The Eternity Shroud,Body Armour,body,T2,body,bastion_shell,tempo,0,13,9,0,1,Plating,,major,bastion|sustain|tempo,0,,https://www.poewiki.net/wiki/The_Eternity_Shroud,52
106,the_three_dragons,The Three Dragons,Helmet,helmet,T2,minor,seer_helm,ember,0,7,4,1,4,Burn,,major,insight|bastion|ember,0,,https://www.poewiki.net/wiki/The_Three_Dragons,52
107,the_rat_cage,The Rat Cage,Body Armour,body,T2,body,bastion_shell,insight,0,13,9,0,1,Regen,,major,bastion|sustain|focus,0,,https://www.poewiki.net/wiki/The_Rat_Cage,52
108,the_apostate,The Apostate,Body Armour,body,T2,body,bastion_shell,blood,0,13,9,0,1,Regen,,major,bastion|sustain,0,,https://www.poewiki.net/wiki/The_Apostate,52
109,the_ivory_tower,The Ivory Tower,Body Armour,body,T2,body,bastion_shell,bastion,0,13,9,0,1,Plating,,major,bastion|sustain,0,,https://www.poewiki.net/wiki/The_Ivory_Tower,52
110,the_admiral,The Admiral,Body Armour,body,T2,body,bastion_shell,neutral,0,13,9,0,1,Plating,,major,bastion|sustain|support,0,,https://www.poewiki.net/wiki/The_Admiral,52
111,the_hallowed_monarch,The Hallowed Monarch,Helmet,helmet,T2,minor,seer_helm,beast,0,7,4,1,4,Foresight,,major,insight|bastion|assault,0,,https://www.poewiki.net/wiki/The_Hallowed_Monarch,52
112,the_iron_fortress,The Iron Fortress,Body Armour,body,T2,body,bastion_shell,blood,0,13,9,0,1,Regen,,major,bastion|sustain,0,,https://www.poewiki.net/wiki/The_Iron_Fortress,52
113,the_restless_ward,The Restless Ward,Body Armour,body,T2,body,bastion_shell,neutral,0,13,9,0,1,Plating,,major,bastion|sustain|support,0,,https://www.poewiki.net/wiki/The_Restless_Ward,52
114,the_hand_of_phrecia,The Hand of Phrecia,Gloves,gloves,T2,minor,tempo_grip,void,5,2,0,6,3,Strength,,major,tempo|sustain|arcane,0,,https://www.poewiki.net/wiki/The_Hand_of_Phrecia,50
115,the_tricksters_smile,The Trickster's Smile,Helmet,helmet,T2,minor,seer_helm,ember,0,7,4,1,4,Burn,,major,insight|bastion|ember,0,,https://www.poewiki.net/wiki/The_Trickster%27s_Smile,50
116,the_vertex,The Vertex,Helmet,helmet,T2,minor,seer_helm,neutral,0,7,4,1,4,Foresight,,major,insight|bastion|support,0,,https://www.poewiki.net/wiki/The_Vertex,50
117,the_brine_crown,The Brine Crown,Helmet,helmet,T2,minor,seer_helm,neutral,0,7,4,1,4,Foresight,,major,insight|bastion|support,0,,https://www.poewiki.net/wiki/The_Brine_Crown,50
118,the_bringer_of_rain,The Bringer of Rain,Helmet,helmet,T2,minor,seer_helm,blood,0,7,4,1,4,Foresight,,major,insight|bastion|sustain,0,,https://www.poewiki.net/wiki/The_Bringer_of_Rain,50
119,the_broken_crown,The Broken Crown,Helmet,helmet,T2,minor,seer_helm,neutral,0,7,4,1,4,Foresight,,major,insight|bastion|support,0,,https://www.poewiki.net/wiki/The_Broken_Crown,50
120,the_fledgling,The Fledgling,Helmet,helmet,T2,minor,seer_helm,frost,0,7,4,1,4,Foresight,,major,insight|bastion|control,0,,https://www.poewiki.net/wiki/The_Fledgling,50
121,the_devouring_diadem,The Devouring Diadem,Helmet,helmet,T2,minor,seer_helm,blood,0,7,4,1,4,Foresight,,major,insight|bastion|sustain,0,,https://www.poewiki.net/wiki/The_Devouring_Diadem,50
122,the_devourer_of_minds,The Devourer of Minds,Helmet,helmet,T2,minor,seer_helm,blood,0,7,4,1,4,Foresight,,major,insight|bastion|sustain,0,,https://www.poewiki.net/wiki/The_Devourer_of_Minds,50
123,the_celestial_brace,The Celestial Brace,Gloves,gloves,T2,minor,tempo_grip,ember,5,2,0,6,3,Strength,,major,tempo|sustain|ember,0,,https://www.poewiki.net/wiki/The_Celestial_Brace,50
124,the_formless_inferno,The Formless Inferno,Helmet,helmet,T2,minor,seer_helm,ember,0,7,4,1,4,Burn,,major,insight|bastion|ember,0,,https://www.poewiki.net/wiki/The_Formless_Inferno,50
125,the_formless_flame,The Formless Flame,Helmet,helmet,T2,minor,seer_helm,ember,0,7,4,1,4,Burn,,major,insight|bastion|ember,0,,https://www.poewiki.net/wiki/The_Formless_Flame,50
126,the_stampede,The Stampede,Boots,boots,T2,minor,tempo_stride,tempo,0,3,1,11,1,Dodge,,major,tempo|hunter,0,,https://www.poewiki.net/wiki/The_Stampede,50
127,the_baron,The Baron,Helmet,helmet,T2,minor,seer_helm,frost,0,7,4,1,4,Foresight,,major,insight|bastion|control,0,,https://www.poewiki.net/wiki/The_Baron,50
128,the_infinite_pursuit,The Infinite Pursuit,Boots,boots,T2,minor,tempo_stride,tempo,0,3,1,11,1,Dodge,,major,tempo|hunter,0,,https://www.poewiki.net/wiki/The_Infinite_Pursuit,50
129,the_red_trail,The Red Trail,Boots,boots,T2,minor,tempo_stride,tempo,0,3,1,11,1,Dodge,,major,tempo|hunter,0,,https://www.poewiki.net/wiki/The_Red_Trail,50
